id,user_id,type,foreign_id,data,created_at,updated_at
0004ecf7-422b-4ff5-a422-60efdd2b9ea2,1886,10,,,2020-06-06 16:09:03,2020-06-06 16:09:03
000567d4-26cf-4f38-afe6-c8fab7491332,2247,40,838,,2020-06-29 17:48:06,2020-06-29 17:48:06
0005c66a-99b4-446d-a4a3-9ee5e51fb75d,1997,51,34785,,2020-06-24 22:05:32,2020-06-24 22:05:32
00065e17-1ce6-4614-ad55-021d19ecfc5b,5,40,,,2020-03-23 10:08:12,2020-03-23 10:08:12
0008a7e3-7695-4952-b608-e574d08321bc,2317,80,,"{""query"": ""Milk""}",2020-07-11 10:23:18,2020-07-11 10:23:18
000d484b-a8a3-46fd-864e-ed3973ca0aa8,2045,40,838,,2020-06-22 13:31:55,2020-06-22 13:31:55
000df210-9d79-11e9-93cd-9113edbf8f65,4,10,,,2019-07-03 09:57:42,2019-07-03 09:57:42
000e2464-7ace-4e5e-9223-4fba07fda511,2291,50,1772,,2020-07-02 17:23:24,2020-07-02 17:23:24
000f2b20-9d79-11e9-9073-57d54c45e1ce,4,11,,,2019-07-03 09:57:42,2019-07-03 09:57:42
0012f827-da41-42f5-9b84-672d7df35110,2190,30,,,2020-06-26 12:29:16,2020-06-26 12:29:16
0014136a-98db-412e-b797-03ff6b37c494,1850,50,1610,,2020-04-20 10:20:49,2020-04-20 10:20:49
0018383a-c677-48bd-ac7b-8b54684cd0de,2004,10,,,2020-07-04 16:26:19,2020-07-04 16:26:19
00199f6b-0bab-4ff3-a8a1-b1b4fbcbacb8,4,40,,,2020-01-23 16:49:16,2020-01-23 16:49:16
0019b0be-d7b6-4498-8966-c31beb76eacb,1816,50,1712,,2020-03-05 21:20:54,2020-03-05 21:20:54
0020cb5a-4ebb-461b-96c3-634aa00ae464,1845,10,,,2020-04-19 20:28:42,2020-04-19 20:28:42
0020fe38-b8f5-4931-a335-5ebf5d68a942,5,51,102106,,2020-05-11 16:14:09,2020-05-11 16:14:09
0029a5bf-d51a-48e0-b720-3fd41e072d6b,2072,50,,,2020-06-12 14:56:21,2020-06-12 14:56:21
0029ee8c-045f-4367-88c1-c7b4acdc3953,2114,24,2140,,2020-06-16 00:20:40,2020-06-16 00:20:40
002b6c0c-322a-4048-ac23-664655b44d81,2386,40,846,,2020-07-09 09:31:51,2020-07-09 09:31:51
002e5b40-73db-4577-8cac-5d39bc63bb7d,275,40,837,,2020-05-08 17:28:56,2020-05-08 17:28:56
002f656a-b2d5-449a-87fb-f375fca64960,1959,10,,,2020-06-16 15:58:56,2020-06-16 15:58:56
002f8cb3-c729-4256-bd50-137a9df8e4f1,5,80,,"{""query"": ""Dill""}",2020-05-07 11:58:20,2020-05-07 11:58:20
00313781-2e89-4860-9943-9e23768e3506,1919,32,b667f7fe-1775-11ea-afc7-060cccb8bc76,,2020-05-28 15:01:02,2020-05-28 15:01:02
00338bc5-9c2a-4dd7-bd4c-ba7898d9a9c1,2065,40,845,,2020-06-11 21:27:23,2020-06-11 21:27:23
0033c71b-3c14-4370-989c-21be6aa6ecc0,1824,31,7ed568aa-3a8f-485f-83d8-1068da1e1e92,,2020-03-08 11:08:06,2020-03-08 11:08:06
0038ef14-d8ed-44f1-9087-951fc10f7b94,1884,31,068558c6-5d80-423f-8987-d16c4e5971ce,,2020-05-20 16:21:53,2020-05-20 16:21:53
003c615f-1f2c-489e-8d1c-b02bf5dc59f5,1,10,,,2020-06-08 09:03:29,2020-06-08 09:03:29
003f6aad-b43b-4cbd-a239-587125ccfc57,1266,51,55254,,2020-04-22 17:58:48,2020-04-22 17:58:48
0044f479-7bd9-478b-8476-d21c8f1eb15a,2335,10,,,2020-07-06 11:09:25,2020-07-06 11:09:25
00455099-56ff-464a-94ce-9c7cdb1738fc,2157,40,843,,2020-06-21 16:48:22,2020-06-21 16:48:22
004f0ff3-f2b6-4ba4-81ad-146848d8ba5a,2436,40,837,,2020-07-11 04:04:47,2020-07-11 04:04:47
0050c8a0-a79e-11e9-95a2-5982ef555b23,671,10,,,2019-07-16 07:47:46,2019-07-16 07:47:46
00511fe4-b2e3-4f89-a31d-33253dd600ec,1839,41,361,,2020-03-30 15:39:07,2020-03-30 15:39:07
0058cbeb-ebaf-4132-9373-40a69f3c5430,2320,51,8755,,2020-07-09 13:55:37,2020-07-09 13:55:37
0058e970-641d-4d49-9e6d-7bbaa768a506,1878,41,35,,2020-05-15 22:46:55,2020-05-15 22:46:55
0059a34a-5404-4617-afd6-0f0ac070c27f,1784,50,1638,,2020-02-03 14:53:19,2020-02-03 14:53:19
0059fb0a-5f96-4f3d-bee9-b1713e4df22d,5,24,11,,2020-04-06 09:47:35,2020-04-06 09:47:35
005a77de-7d57-4564-9985-66e5136d8e15,2138,40,835,,2020-06-18 23:32:43,2020-06-18 23:32:43
00603e67-dd57-468d-ab93-cdff03611141,2109,40,835,,2020-06-15 17:37:58,2020-06-15 17:37:58
006068a3-a4ee-4e31-80b6-1fcd1a69fe26,1792,40,843,,2020-04-01 10:42:03,2020-04-01 10:42:03
0060d710-de5e-481e-ad3d-ea22142ae432,1792,81,,"{""query"": ""Panca""}",2020-02-11 17:35:19,2020-02-11 17:35:19
00617662-788a-4991-a81c-f9f89fdbac4a,86,50,,,2020-07-10 19:16:18,2020-07-10 19:16:18
0061e352-1f4b-4f37-9a35-c9ae7209ced7,1,40,843,,2020-03-05 16:01:52,2020-03-05 16:01:52
006771b8-9a73-4f8e-a632-bff6603bb03c,1926,30,,,2020-05-28 15:47:25,2020-05-28 15:47:25
006d76f9-91a4-4ae0-9aa6-898959b6d3a2,1886,10,,,2020-06-24 10:55:07,2020-06-24 10:55:07
006d95f0-a659-11e9-9537-dfb9c647cc39,1496,50,1712,,2019-07-14 17:01:20,2019-07-14 17:01:20
006dca28-7aeb-4994-8f99-b899c92282e1,2388,40,837,,2020-07-09 11:24:03,2020-07-09 11:24:03
00708eab-18b9-455e-a433-0f9517803fe3,2012,30,,,2020-06-04 19:16:14,2020-06-04 19:16:14
00741f68-e60c-4006-9f22-2dbae8706d92,2173,40,843,,2020-06-22 23:16:24,2020-06-22 23:16:24
00747644-a204-489d-9159-c6cd8457d048,2320,25,2355,,2020-07-09 09:18:03,2020-07-09 09:18:03
007ba565-84c4-47e8-aa66-bec2bd670c95,1637,10,,,2020-06-08 20:32:41,2020-06-08 20:32:41
007d6cb1-9480-4963-800d-33f5a48d81a0,1812,32,a054b957-3078-11ea-9301-9af4b87155b3,,2020-02-27 12:21:46,2020-02-27 12:21:46
007d7940-5169-410f-a5c9-53a994822454,1962,51,69176,,2020-05-29 17:57:50,2020-05-29 17:57:50
007f4950-a79e-11e9-961a-ab998dac6aaa,671,12,,,2019-07-16 07:47:46,2019-07-16 07:47:46
0080120f-b56a-426f-a4c1-2a91b81ee9e8,2354,22,2391,,2020-07-07 18:04:33,2020-07-07 18:04:33
00803140-608a-4ffd-aec3-f8cfda036897,2398,50,1916,,2020-07-10 14:34:54,2020-07-10 14:34:54
0081a57f-c415-4c5b-9339-8f89677f447f,1266,10,,,2020-03-12 19:04:08,2020-03-12 19:04:08
0082ea85-7e77-4eb1-a23a-b6ef4a712b90,1637,80,,"{""query"": ""Apple""}",2020-03-16 16:20:05,2020-03-16 16:20:05
0083280e-85d2-48e3-9e30-cce0cbcaf9e0,2261,41,400,,2020-06-30 16:21:20,2020-06-30 16:21:20
00838d4b-8a44-405d-92b1-c0892d3adae5,1801,10,,,2020-03-23 08:47:50,2020-03-23 08:47:50
0084545f-38eb-4a3b-bc9e-03710ae1b702,2161,51,38098,,2020-06-21 20:54:07,2020-06-21 20:54:07
00886ccc-0aa9-4c44-b337-66c73d0c4a2c,2046,61,50721,,2020-06-09 01:52:28,2020-06-09 01:52:28
00891875-bbf7-46e6-94fd-ee703b4757c5,86,80,,"{""query"": ""Knorr chicken stock""}",2020-07-10 19:17:13,2020-07-10 19:17:13
008c1c65-ea6e-4817-a52f-1d5e2e7d2905,1792,40,,,2020-04-01 14:37:42,2020-04-01 14:37:42
008f0162-f3b6-46d5-b4a2-c144dff68f14,2222,51,62975,,2020-06-30 17:31:30,2020-06-30 17:31:30
00906ffe-0c22-4f6c-b117-b884d6814a85,2322,80,,"{""query"": ""Aldi thai""}",2020-07-06 11:31:12,2020-07-06 11:31:12
00965878-39a0-48b1-ad62-c4dd448d687c,1776,22,1767,,2020-01-25 18:24:50,2020-01-25 18:24:50
00972af5-e2c7-49bf-a0b7-8e8dc440d44a,2199,40,,,2020-06-26 14:06:13,2020-06-26 14:06:13
009a75f7-784a-4dbf-a2c7-2dfde616737d,2248,22,2282,,2020-06-29 18:38:37,2020-06-29 18:38:37
009d8bfe-680e-47b1-add2-0f317372caa7,2394,12,,,2020-07-09 21:07:52,2020-07-09 21:07:52
00a0c287-e258-4556-b084-fde739120f6f,1791,11,,,2020-02-15 00:09:56,2020-02-15 00:09:56
00a3f869-f368-4357-a849-b8f9a7b6756b,1923,30,,,2020-06-10 21:28:37,2020-06-10 21:28:37
00a6fb78-730d-431d-b291-005adbb8e8fa,2157,51,25513,,2020-06-22 15:35:17,2020-06-22 15:35:17
00a71057-a18f-4f8c-9392-721d31770e77,1849,40,,,2020-04-16 23:47:26,2020-04-16 23:47:26
00a8ab54-fce2-49f2-802f-595a156763a2,1850,50,1748,,2020-05-07 09:13:54,2020-05-07 09:13:54
00aaf448-e83d-4a41-91a6-bc1f18c97fc4,2436,12,,,2020-07-12 02:50:00,2020-07-12 02:50:00
00aba857-fe47-4013-82b1-6f9745505f90,685,10,,,2020-02-13 10:50:20,2020-02-13 10:50:20
00abf0b6-d1c6-47a7-89a5-a37b98d5a07d,1824,31,d0fc417b-891c-4736-a3f0-9193697952b4,,2020-03-08 11:15:23,2020-03-08 11:15:23
00ad18d0-9ea8-11e9-9376-6363d6b4f9fe,709,10,,,2019-07-04 22:06:41,2019-07-04 22:06:41
00ae763a-f6aa-4c9e-b01e-1ed6aa8daea3,2161,51,3168,,2020-06-21 20:35:16,2020-06-21 20:35:16
00af165d-9b51-41cc-8848-ea02367f1fcd,2302,41,365,,2020-07-03 12:57:47,2020-07-03 12:57:47
00af9c48-5db9-4c91-a8bc-cc2408aa9dc4,2079,50,1694,,2020-06-12 13:50:01,2020-06-12 13:50:01
00aff42a-7d1d-47a3-9097-8b78fd177b98,2165,32,b2c2882e-4c01-11e9-a403-c6595bde79a4,,2020-06-22 09:57:56,2020-06-22 09:57:56
00b262fb-46be-4ef1-8fdd-1ca7d678e20e,1,30,,,2020-02-05 16:02:55,2020-02-05 16:02:55
00b34140-a550-11e9-bc21-c7d9f5a3b20e,1451,12,,,2019-07-13 09:24:23,2019-07-13 09:24:23
00b39fb0-32c3-4c30-b7aa-e32afef459ba,5,50,,,2020-04-02 12:31:25,2020-04-02 12:31:25
00b540b7-fc05-4e2d-8969-2e09bab95bb2,909,30,,,2020-01-28 22:42:33,2020-01-28 22:42:33
00b86f58-ab36-45a8-9179-76a3d65cec54,2155,81,,"{""query"": ""Chocalate chip""}",2020-06-21 11:16:24,2020-06-21 11:16:24
00bb255f-bea8-4a94-9d12-04f2f6a3aa3b,1914,51,70383,,2020-05-29 09:52:13,2020-05-29 09:52:13
00bd7974-0838-42cf-9146-3026fd56d500,2263,50,1591,,2020-07-04 18:24:24,2020-07-04 18:24:24
00c01705-a2ba-41ee-8e04-28b1831828cc,1996,51,110196,,2020-06-22 18:44:36,2020-06-22 18:44:36
00c618a9-00d6-4764-8d58-51966533e83d,2306,40,,,2020-07-03 14:37:53,2020-07-03 14:37:53
