id,user_id,name,avatar,dob,birth_year,gender,lifestyle,energy_min,energy_max,carbohydrate_min,carbohydrate_max,sugars_min,sugars_max,fat_min,fat_max,saturates_min,saturates_max,salt_min,salt_max,fibre_min,fibre_max,protein_min,protein_max,primary,active,created_at,updated_at
1,1,6fa19e34a7d64781f2424520aa38148f,51f515db,1983-04-10,1983,Male,Any,,,,,,,,,,,,,,,,,1,1,2018-08-10 11:52:12,2020-01-14 08:55:19
4,10,ed7062d95967f3c07c3dc1c37a226305,,,,,Any,,,,,,,,,,,,,,,,,1,1,2018-08-13 10:56:33,2019-05-28 20:38:21
5,4,d703569041398e2f690360f854df18c9,bbc5a14f,,1997,Female,Any,,,,,,,,,,,,,,,,,1,1,2018-08-13 10:56:33,2020-03-02 16:07:14
6,5,aea2d0929308b3395e9eb733bd08c03a,6f51cb75,1997-11-08,,Female,Any,,,,,,,,,,,,,,,,,1,0,2018-08-13 10:56:33,2020-07-08 22:46:17
8,7,73560c29cb46b3bd1ef1d33f75abd5de,,,,,Any,,,,,,,,,,,,,,,,,1,1,2018-08-13 10:56:33,2018-08-13 10:56:33
9,8,a50b37616c648f3bd4af30ec5c5f1b4c,,,,,Any,,,,,,,,,,,,,,,,,1,1,2018-08-13 10:56:33,2018-08-13 10:56:33
10,9,d8c53bb46ad8802318f58b22a3646607,,,,,Any,,,,,,,,,,,,,,,,,1,1,2018-08-13 10:56:33,2018-08-13 10:56:33
11,5,a5593c25af3b012dbd45008efb130ef3,a757fabd,1998-02-23,,Female,Vegan,,,,,,,,,,,,,,,,,0,0,2018-08-14 11:06:45,2020-07-08 22:46:17
12,5,13eb06fb70cfe22e0e4b919de549f935,01282a59,1997-07-08,,Male,Any,,,,,,,,,,,,,,,,,0,1,2018-08-14 11:10:09,2020-07-08 22:46:16
13,5,34bf658a7db67551e2d24de31b5ab0fb,9293fe84,1998-07-30,,Prefer not to say,Any,,,,,,,,,,,,,,,,,0,0,2018-08-14 11:12:50,2020-07-08 22:46:16
28,20,73cc9552749ac48b4b645c46f3b47fa1,39740f97,,,,Any,,,,,,,,,,,,,,,,,1,1,2018-08-17 15:02:08,2018-08-22 09:28:46
